"1","Auvergne-Rhône-Alpes","Lyon","Ain, Allier, Ardèche, Cantal, Drôme, Isère, Loire, Haute-Loire, Puy-de-Dôme, Rhône, Savoie, Haute-Savoie","69711","8114361"
"2","Bourgogne-Franche-Comté","Dijon[8]","Côte-d'Or, Doubs, Jura, Nièvre, Haute-Saône, Saône-et-Loire, Yonne Territoire de Belfort","47784","2800194"
"3","Bretagne","Rennes","Côtes-d'Armor, Finistère, Ille-et-Vilaine, Morbihan","27208","3394567"
"4","Centre-Val-de-Loire","Orléans","Cher, Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret","39151","2573303"
"5","Corse","Ajaccio","Corse-du-Sud, Haute-Corse","8680","347597"
"6","Grand-Est","Strasbourg","Ardennes, Aube, Marne, Haute-Marne, Meurthe-et-Moselle, Meuse, Moselle, Bas-Rhin, Haut-Rhin, Vosges","57441","5561287"
"7","Hauts-de-France","Lille","Aisne, Nord, Oise, Pas-de-Calais, Somme","31806","5995292"
"8","Ile-de-France","Paris","Seine-et-Marne, Yvelines, Essonne, Hauts-de-Seine, Seine-Saint-Denis, Val-de-Marne, Val-d'Oise","12012","12317279"
"9","Normandie","Rouen","Calvados, Eure, Manche, Orne, Seine-Maritime","29907","3327966"
"10","Nouvelle-Aquitaine","Bordeaux","Charente, Charente-Maritime, Corrèze, Creuse, Dordogne, Gironde, Landes, Lot-et-Garonne, Pyrénées-Atlantiques, Deux-Sèvres, Vienne, Haute-Vienne","84036","6069352"
"11","Occitanie","Toulouse","Ariège, Aude, Aveyron, Gard, Haute-Garonne, Gers, Hérault, Lot, Lozère, Hautes-Pyrénées, Pyrénées-Orientales, Tarn, Tarn-et-Garonne","72724","6022176"
"12","Pays-de-la-Loire","Nantes","Loire-Atlantique, Maine-et-Loire, Mayenne, Sarthe, Vendée","32082","3853999"
"13","Provence-Alpes-Côte-d-Azur","Marseille","Alpes-de-Haute-Provence, Hautes-Alpes, Alpes-Maritimes, Bouches-du-Rhône, Var, Vaucluse","31400","5127840"
"14","Guadeloupe","Basse-Terre","","1628","384315"
"15","Martinique","Fort-de-France","","1128","360749"
"16","Guyane","Cayenne","","83534","286618"
"17","La-Réunion","Saint-Denis","","2504","871157"
"18","Mayotte","Mamoudzou","","374","256518"
