Français;Kanji;Kana;Rōmaji
Acceptablement;宜しく;よろしく;yoroshiku
Assurément;必ず;かならず;kanarazu
Avec sérieux;鋭意;えいい;eii
À nouveau;又々;またまた;matamata
Beaucoup;一杯;いっぱい;ippai
Beaucoup;沢山;たくさん;takusan
Bientôt;近々;ちかじか;chikajika
Brusquement;;はっと;hatto
Clairement/Nettement;;はっきり;hakkiri
Comme d'habitude/Comme toujours;相変わらず;あいかわらず;aikawarazu
Comme on pouvait l'attendre/Comme on le dit;矢張り;やはり;yahari
Correctement;正しく;ただしく;tadashiku
De tout cœur;一心;いっしん;isshin
De toute façon;取り敢えず;とりあえず;toriaezu
Encore;未だ (durée);まだ;mada
Encore;未た (répétition);また;mata
Exprès;態と;わざと;wazato
Évidemment, bien sûr;勿論;もちろん;mochiron
Facilement;;やすやす;yasuyasu
Fermement;;ぎっしり;gisshiri
Finalement;軈て ;やがて;yagate
Finalement;結局;けっきょく;kekkyoku
Furtivement;;こっそり;kossori
Immédiatement;直ぐに;すぐに;suguni
Jamais;決して;けっして;kesshite
Lentement;;ゆっくり;yukkuri
Même;;さえ (étonnement);sae
Même;;でも (surprise);demo
Ne … que;;しか (négativement) ;shika
Ne … que;;ばかり (péjorativement);bakari
Peut-être;多分;たぶん;tabun
Profondément;;つくづく;tsukuzuku
Promptement;;さっと;satto
Presque;殆ど;ほとんど;hotondo
Quoi qu’il en soit, de toute façon;兎に角;とにかく;tonikaku
Rapidement;早く;はやく;hayaku
Sans souci;;のんびり;nonbiri
Soudainement;;いきなり;ikinari
Temporairement;暫し;しばし;shibashi
Timidement;恐る恐る;おそるおそる;osoru-osoru
Toujours;何時も;いつも;itsumo
Tout, totalement;全て;すべて;subete
Très;迚も;とても;totemo
Uniquement;;だけ (basique);dake
Uniquement;;のみ (formel); nomi
Uniquement;;しか (négatif);shika
Uniquement;;ばかり (péjoratif);bakari
Un moment;暫く;しばらく;shibaraku
Un peu;少;しすこし;sukoshi
Un peu;一寸;ちょっと;chotto
