 Positif; Présent / Futur;Neutre; Pas de changement;;" はやい
Hayai"; (Est) rapide;
;;Polie;Radical de l’adjectif +;です desu;"はやい　です
Hayai desu";;
; Passé;;;Neutre; かった Katta;"はや かった
Hayakatta"; (Était) rapide
;;;;Polie;かった です Katta desu;"はや かった です
Hayakatta desu";
 Négatif; Présent / Futur;Neutre;;くない Kunai;"  はやくない
Hayakunai"; (N’est) pas rapide;
;;Polie;;"くない です
Kunai desu
ou くありません
Ku arimasen";"はや くない です
Hayakunai desu
ou はや く
ありません
Hayaku arimasen";;
; Passé;;;Neutre;" くなかった
Ku nakatta";"  はやくなかった
Hayakunakatta"; (N’était) pas rapide
;;;;Polie;"くなかった です Ku nakatta desu
ou くありませ んでした
Ku arimasen deshita";"はやくなかった です
Hayakunakatta desu
ou はやくありませ んでした
Hayaku arimasen deshita";
 Avoir l’air…;;;;" そう
Sou";"  はやそう
Hayasou"; Avoir l’air rapide;
 Trop…; Infinitif;;;" すぎる
Sugiru";"  はやすぎる
Hayasugiru"; Être trop rapide;
; Présent;;;" すぎます
Sugimasu";"  はやすぎます
Hayasugimasu"; C’est trop rapide;
; Passé;;;" すぎました
Sugimashita";"  はやすぎました
Hayasugimashita"; C’était trop rapide;
  Adverbe;;;; く Ku;"  はやく
Hayaku"; Rapidement;
Nom;;;;さ Sa;"はやさ
Hayasa";Vitesse;
